parse_text,parse_name
"['Waduh', 'langsung', 'naik', 'hestek', 'gibran', 'masuk', 'golcar', 'yakin', 'nih']",['AmanillahH']
"['Gerindra', 'Kota', 'Salatiga', 'Dukung', 'Gibran', 'Dampingi', 'Prabowo', 'di', 'Pilpres', 'httpstcojOQMzUBBy', 'httpstcoOohskUa', 'Jokowinomics', 'MenataMasaDepan', 'PrabowoPetugasRakyat']",['mehuliginting']
"['Adapun', 'untuk', 'pencalonan', 'cawapres', 'menurut', 'Gibran', 'menjadi', 'kewenangan', 'para', 'ketua', 'partai', 'BersamaPrabowo', 'MenataMasaDepan', 'Prabowo', 'Subianto']",['brendskienavarr']
"['gibrantweet', 'Sprtinya', 'hati', 'sudah', 'ditetapkan', 'kembali', 'Semangat', 'pak', 'wali', 'Jgn', 'mau', 'di', 'seret', 'apalagi', 'sampai', 'tergiur', 'Bnyak', 'yg', 'kepanasan', 'trmsk', 'sy', 'dgn', 'putusan', 'MK', 'dan', 'cara', 'KIM', 'sgt', 'memecah', 'belah', 'diantara', 'pendukung', 'JKW']",['Pakarkacang']
"['Agung', 'menyebut', 'Golkar', 'pun', 'terbuka', 'jika', 'Gibran', 'akan', 'bergabung', 'dengan', 'partai', 'berlambang', 'pohon', 'beringin', 'itu', 'BersamaPrabowo', 'MenataMasaDepan', 'Prabowo', 'Subianto']",['AdhigkKurniawan']
"['Lalu', 'bagaimana', 'jika', 'bukan', 'Gibran', 'yang', 'menjadi', 'cawapres', 'Prabowo', 'Apakah', 'Projo', 'tetap', 'dukung', 'Prabowo', 'BersamaPrabowo', 'MenataMasaDepan', 'Prabowo', 'Subianto']",['brendskienavarr']
"['Xmonika', 'gibrantweet', 'Gas', 'ga', 'sih', 'Prabowo', 'gibran']",['gagalsekali']
"['Julieette', 'Enrico', 'gibrantweet', 'jokowi', 'gmgm', 'masbutet', 'Mas', 'butet', 'itu', 'boleh', 'berpendapat', 'tapi', 'pak', 'Jokowi', 'yang', 'menentukan', 'nasib', 'nya', 'dan', 'keluarganya', 'bukan', 'orang', 'lain', 'Jangan', 'coba', 'mendikte', 'presiden', 'jangan', 'macam']",['Fedexchies']
"['gibrantweet', 'Mantab', 'lanjutkan', 'amanah', 'walikota', 'solo', 'lanjut', 'gubernur']",['marvellmaliki']
"['Febipurnamazaka', 'salut', 'sama', 'pilihan', 'dan', 'keberanian', 'mas', 'Gibran', 'GibranMasukGOLKAR']",['Richads']
"['Kerja', 'adalah', 'cinta', 'yg', 'ngejawantah', 'Bila', 'kamu', 'tak', 'sanggup', 'bekerja', 'dgn', 'cinta', 'Baiknya', 'ambil', 'tempat', 'di', 'depan', 'gapura', 'candi', 'Lalu', 'mintalah', 'sedekah', 'dari', 'mereka', 'yg', 'bekerja', 'dgn', 'cinta', 'Kahlil', 'Gibran', 'Salam', 'Jumat', 'Berkah', 'SahabatGanjar', 'GanjarPranowo', 'GanjarPresiden', 'GanjarUntukSemua', 'httpstcoQsMcgzqrs']",['tnmuda']
"['txtdrdepok', 'gibrantweet']",['SemakBelukar']
"['gibrantweet', 'Piye', 'mas', 'Ngasak', 'Golkar', 'kih', 'sidane', 'Rapopo', 'mas', 'Ben', 'gayeng', 'Urip', 'mbok', 'Ojo', 'lempeng', 'banget', 'Nganggo', 'nakal', 'Sithik', 'ngono', 'lho', 'Pak', 'ganjarpranowo', 'masih', 'meragukan', 'dirimu', 'ga', 'Tegak', 'lurus', 'lhocoba', 'cek', 'narasitv', 'NajwaShihab', 'semalem', 'rak', 'Mak', 'plenggong']",['klemudan']
"['gibrantweet', 'Daya', 'membangun', 'ngga', 'seberapa', 'ternyata', 'daya', 'merusaknya', 'sungguh', 'luar', 'biasa']",['Rdp']
